"number","title","body","createdAt","updatedAt","Duration time (Days)","Completion time (Days)","pipelineIssue.pipeline.name","labels.nodes","zenhubLabels.nodes","repository.name","parentZenhubEpics.nodes","assignees.nodes","zenhubAssignees.nodes","comments.nodes","Days from Creation"
"https://app.zenhub.com/workspaces/64b65bd28a23b42f3ece620a/issues/zh/4312","用户反馈-CF拦截导致报错403！","1、探索页recommend接口报错403！

<img width=""719"" src=""https://api.zenhub.com/attachedFiles/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBOVI4QlE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--37af6cd85b93b59a45d2439a10424fe279e4b7d7/image.png"" alt=""image.png"" />

具体问题：网页掉线 接口报错403
操作步骤：探索页一直刷新页面 偶现接口报错
期望结果：正常展示
环境信息
操作系统：Windows 10
浏览器/应用版本：版本 125.0.6422.142（正式版本）
设备信息：Chrome浏览器
时间戳
发生时间：6/20
频率
问题频率：很偶现

","2024-06-20 22:57:00","2024-06-27 16:43:23",32,"","New Issues","[]","{'name': 'enhancement'}, {'name': 'server'}, {'name': 'prod issue'}, {'name': 'critical'}","Engineers","[{'title': '主站-问题反馈/优化'}]","[]","{'name': 'vinstic'}","[{'body': '2、search 也返回 403 了\n<img width=""720"" src=""https://api.zenhub.com/attachedFiles/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBNkdYQlE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--f3556bfef3c48efcca26b5fd4f7cc109f42b17aa/image.png"" alt=""image.png"" />\n\n<img width=""369"" src=""https://api.zenhub.com/attachedFiles/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBNktYQlE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--2325a1f69200d89f3999eb412337c0409dc53f63/image.png"" alt=""image.png"" />\n\n具体问题：网页掉线 接口报错403\n操作步骤：搜索框输入文字点击搜索\n环境信息\n操作系统：mac\n浏览器/应用版本：\n设备信息：Chrome浏览器\n时间戳\n发生时间：6/27\n频率\n问题频率：很偶现\n\n\n'}, {'body': '3、进入质押页面报错403！\n<img width=""720"" src=""https://api.zenhub.com/attachedFiles/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeVduQlE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--c778fcf7842de5214850d3f5963c0e219602ee64/image.png"" alt=""image.png"" />\n\nCf-Ray：89ccb000198e96b6-KIX'}, {'body': '4、填写表单后点击运行按钮报错403！\n\n<img width=""1827"" src=""https://api.zenhub.com/attachedFiles/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBNU96QlE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--e9941017492f899d3ecd715008525c86a6fb7335/image.png"" alt=""image.png"" />\n\nCf-Ray：89dd7c4bbd3669cd-LAX\n\n'}]",31.0
"https://app.zenhub.com/workspaces/64b65bd28a23b42f3ece620a/issues/zh/3807","领水任务移除 点击检测无响应 接口也为报错！","","2024-05-16 09:22:04","2024-05-16 09:22:04",67,"","New Issues","[]","{'name': 'bug'}, {'name': 'server'}","Engineers","[{'title': '主站-问题反馈/优化'}]","[]","{'name': 'vinstic'}, {'name': 'Lisun0819'}","[]",67.0
"https://app.zenhub.com/workspaces/64b65bd28a23b42f3ece620a/issues/zh/3385","clone 语言 当时上传的语言时间过长 导致克隆失败 需要给出提示！或者限制上传时长！","
文件无法上传
https://myshellhq.slack.com/files/U05KH9ACDKL/F0704FA3EQY/______2024-04-18_11.39.11.png

","2024-04-18 22:00:33","2024-04-18 22:04:54",95,"","New Issues","[]","{'name': 'enhancement'}, {'name': 'bug'}, {'name': 'server'}","Engineers","[{'title': '主站-问题反馈/优化'}]","[]","{'name': 'Chen Boyn'}","[]",94.0
"https://app.zenhub.com/workspaces/64b65bd28a23b42f3ece620a/issues/zh/4731","社交媒体分享的弹窗出现抖动&展示异常！-移动端","如视频所示：
1、点击go后弹窗未及时弹出
2、弹出的弹窗伴随着抖动效果
3、切到其他app在切回来弹窗和系统键盘中间会出现空白

[Private Zenhub Video](https://api.zenhub.com/attachedFiles/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBenpVQlE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--81abd2adf1722cdf4b2a644a0feb88054784ea06/RPReplay_Final1720750613.MP4)

","2024-07-12 10:51:59","2024-07-12 10:54:26",10,"","New Issues","[]","{'name': 'bug'}, {'name': 'website'}, {'name': 'major'}","Engineers","[{'title': '主站-问题反馈/优化'}]","[]","{'name': 'Zhang Ryla'}, {'name': 'maoshuyu666'}","[]",10.0
"https://app.zenhub.com/workspaces/64b65bd28a23b42f3ece620a/issues/zh/4246","web端-onboarding bot列表滑动效果与推荐位卡片交互对齐","<img width=""433"" src=""https://api.zenhub.com/attachedFiles/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeHhkQlE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--4674ed876443de94ea341f2b2b6eb8456141722a/image.png"" alt=""image.png"" />
中间区域的bot列表滑动效果与推荐位卡片交互对齐","2024-06-13 10:43:53","2024-06-13 10:43:53",39,"","New Issues","[]","{'name': 'enhancement'}, {'name': 'website'}, {'name': 'minor'}","Engineers","[{'title': '主站-问题反馈/优化'}]","[]","{'name': 'dustin'}, {'name': 'Zhang Ryla'}","[]",39.0
"https://app.zenhub.com/workspaces/64b65bd28a23b42f3ece620a/issues/zh/4321","图片上传成功后缺少占位图","<img width=""905"" src=""https://api.zenhub.com/attachedFiles/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBOENCQlE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--3512204310098bfc393ad48da3f9bbe3f0ad9e6c/image.png"" alt=""image.png"" />
","2024-06-21 21:40:42","2024-06-21 21:40:42",31,"","New Issues","[]","{'name': 'enhancement'}, {'name': 'website'}, {'name': 'minor'}","Engineers","[{'title': '主站-问题反馈/优化'}]","[]","{'name': 'Zhang Ryla'}, {'name': 'kaiyue kaiyue'}","[]",30.0
"https://app.zenhub.com/workspaces/64b65bd28a23b42f3ece620a/issues/zh/3507","主站-导航栏逻辑调整","<img width=""1853"" src=""https://api.zenhub.com/attachedFiles/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBL09KQkE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--67f497d2fc4ffa363d36fa4df42f4d986a986ca6/image.png"" alt=""image.png"" />
如图所示，当前主站当屏幕高度不够时，页面滑动到底部会出现很大的留白，这块我看了下是导航栏高度固定的问题，所以需要把导航栏改为上下滑动的逻辑（可参考web3站点）
","2024-04-24 11:42:14","2024-04-24 11:42:14",89,"","New Issues","[]","{'name': 'enhancement'}, {'name': 'website'}, {'name': 'major'}","Engineers","[{'title': '主站-问题反馈/优化'}]","[]","{'name': 'Zhang Jett'}, {'name': 'dustin'}, {'name': 'Zhang Ryla'}, {'name': 'maoshuyu666'}","[]",89.0
"https://app.zenhub.com/workspaces/64b65bd28a23b42f3ece620a/issues/zh/2272","中文bot翻译,bot编辑页切换英文,在bot名称/介绍,输入中文后,不需要自动翻译为英文。-不要影响到其他页面/只是修改bot编辑页！","<img width=""1408"" src=""https://api.zenhub.com/attachedFiles/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeHV6QWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--16c9a7efed117950173542569b92803e00be6819/image.png"" alt=""image.png"" />
","2024-01-10 18:06:13","2024-01-10 18:06:13",194,"","New Issues","[]","{'name': 'documentation'}, {'name': 'server'}","Engineers","[{'title': '主站-问题反馈/优化'}]","[]","{'name': 'Lisun0819'}, {'name': 'Tyler-Myshell'}","[]",193.0
"https://app.zenhub.com/workspaces/64b65bd28a23b42f3ece620a/issues/zh/2822","【后端】banned 这个错误需要添加 toast 提示！","<img width=""352"" src=""https://api.zenhub.com/attachedFiles/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBN1NKQXc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--73394de93d2c28b8c5258fbf4aa108db40c378df/image.png"" alt=""image.png"" />
","2024-02-26 16:53:35","2024-02-26 16:53:55",147,"","New Issues","[]","{'name': 'enhancement'}, {'name': 'website'}, {'name': 'prod issue'}","Engineers","[{'title': '主站-问题反馈/优化'}]","[]","{'name': 'vinstic'}, {'name': 'Lisun0819'}, {'name': 'Fan Jack'}","[]",146.0
"https://app.zenhub.com/workspaces/64b65bd28a23b42f3ece620a/issues/zh/1378","移动端-探索页,bot列表,bot标签需要占满！","[Private Zenhub Image](https://api.zenhub.com/attachedFiles/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMGNYQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--3433064899835044d85819f38988d6c19707b930/image.png)
https://www.figma.com/file/Qz5L9ZGSQpfVz2IiHp5xfj/Dine?type=design&node-id=2707%3A45002&mode=design&t=7sguXvVYCXkBt6QG-1","2023-11-29 15:59:05","2023-11-29 15:59:05",236,"","New Issues","[]","{'name': 'documentation'}, {'name': 'android'}, {'name': 'ios'}, {'name': 'website'}, {'name': 'minor'}","Engineers","[{'title': '移动端(ios/安卓)-问题反馈/体验优化'}, {'title': '主站-问题反馈/优化'}]","[]","{'name': 'Lisun0819'}, {'name': 'myshell-lipan'}, {'name': 'jameswangxiaoyi'}, {'name': 'kaiyue kaiyue'}","[{'body': 'web端已单独拆单完成'}]",235.0
